date,rating_today_above,rating_today_near,rating_today_below
2/14/2016,2,2,1
2/15/2016,2,2,1
2/16/2016,2,2,1
2/17/2016,2,2,2
2/18/2016,2,2,1
2/19/2016,2,2,1
2/20/2016,2,2,1
2/21/2016,2,2,1
2/22/2016,1,1,1
2/23/2016,2,1,1
2/24/2016,2,1,1
2/25/2016,2,1,1
2/26/2016,2,1,1
2/27/2016,1,1,1
2/28/2016,1,1,1
2/29/2016,1,1,1
3/1/2016,1,1,1
3/2/2016,1,1,1
3/3/2016,2,1,1
3/4/2016,2,1,1
3/5/2016,1,1,1
3/6/2016,1,1,1
3/7/2016,1,1,1
3/8/2016,2,2,1
3/9/2016,2,2,1
3/10/2016,2,2,2
3/11/2016,2,2,2
3/12/2016,1,1,1
3/13/2016,1,1,1
3/14/2016,1,1,1
3/15/2016,3,3,3
3/16/2016,3,3,3
3/17/2016,3,3,2
3/18/2016,3,3,2
3/19/2016,3,3,2
3/20/2016,3,3,2
3/21/2016,2,2,2
3/22/2016,2,2,2
3/23/2016,3,3,2
3/24/2016,3,3,2
3/25/2016,3,3,2
3/26/2016,3,3,2
3/27/2016,2,2,2
3/28/2016,2,2,1
3/29/2016,2,2,1
3/30/2016,2,2,1
3/31/2016,3,3,2
4/1/2016,2,2,1
4/2/2016,2,2,1
4/3/2016,2,2,1
4/4/2016,2,2,1
4/5/2016,2,2,2
4/6/2016,2,2,2
4/7/2016,2,1,1
4/8/2016,1,1,1
4/9/2016,1,1,2
4/10/2016,1,2,2
4/11/2016,1,1,2
4/12/2016,1,1,2
4/13/2016,1,2,2
4/14/2016,1,2,2
4/15/2016,1,1,1
4/16/2016,3,3,2
4/17/2016,3,3,2
4/18/2016,2,2,2
4/19/2016,2,2,2
4/20/2016,2,2,2
4/25/2016,2,2,2
5/26/2016,2,2,2
10/13/2016,2,2,2
10/19/2016,2,2,2
11/22/2016,2,2,2
11/23/2016,1,1,1
11/24/2016,2,2,1
11/25/2016,2,2,1
11/26/2016,1,1,1
11/27/2016,2,2,1
11/28/2016,2,2,1
11/29/2016,2,2,1
11/30/2016,2,2,1
12/1/2016,2,2,1
12/2/2016,2,2,1
12/3/2016,2,2,1
12/4/2016,2,2,1
12/5/2016,2,2,1
12/6/2016,2,2,1
12/7/2016,3,3,1
12/8/2016,2,2,1
12/9/2016,3,3,1
12/10/2016,3,3,1
12/11/2016,4,4,2
12/12/2016,4,4,2
12/13/2016,3,3,2
12/14/2016,2,3,2
12/15/2016,3,3,2
12/16/2016,3,3,3
12/17/2016,4,4,3
12/18/2016,3,3,2
12/19/2016,3,3,2
12/20/2016,3,2,2
12/21/2016,2,2,2
12/22/2016,2,2,1
12/23/2016,2,2,1
12/24/2016,2,1,1
12/25/2016,2,2,1
12/26/2016,2,2,1
12/27/2016,2,2,1
12/28/2016,2,2,1
12/29/2016,2,2,1
12/30/2016,2,1,1
12/31/2016,2,1,1
1/1/2017,2,1,1
1/2/2017,2,1,1
1/3/2017,2,2,2
1/4/2017,3,3,3
1/5/2017,4,4,3
1/6/2017,3,3,2
1/7/2017,3,2,2
1/8/2017,2,2,2
1/9/2017,3,3,2
1/10/2017,4,4,4
1/11/2017,4,3,3
1/12/2017,3,3,3
1/13/2017,3,3,2
1/14/2017,2,2,2
1/15/2017,2,2,2
1/16/2017,2,2,2
1/17/2017,2,2,2
1/18/2017,1,1,1
1/19/2017,1,1,1
1/20/2017,2,1,1
1/21/2017,2,1,1
1/22/2017,3,2,2
1/23/2017,3,3,3
1/24/2017,3,3,3
1/25/2017,2,2,2
1/26/2017,2,2,2
1/27/2017,2,2,2
