date,air_temp_low_24_hour,air_temp_high_24_hour,precip_accum_24_hour
12/22/2016,-11.5,3.2,0.0
12/23/2013,-16.9,-6.5,0.508
12/23/2014,-7.1,-2.8,15.748
12/23/2015,-8.3,-2.0,0.0
12/23/2016,-8.2,2.4,0.0
12/24/2013,-14.1,-8.0,0.0
12/24/2014,-12.4,-5.3,0.0
12/24/2015,-8.4,-0.6,0.0
12/24/2016,-5.3,3.7,5.08
12/25/2013,-10.0,-3.5,4.064
12/25/2014,-19.3,-7.9,0.0
12/25/2015,-15.7,-6.0,0.0
12/25/2016,-9.3,3.1,0.0
12/26/2013,-19.0,-2.3,0.0
12/26/2014,-20.5,0.1,0.254
12/26/2015,-23.0,-10.3,0.508
12/26/2016,-8.0,4.3,0.508
12/27/2013,-19.2,-1.9,0.0
12/27/2014,-11.6,-0.1,0.0
12/27/2015,-16.7,-5.4,0.508
12/27/2015,-16.7,-5.4,0.508
12/27/2015,-16.7,-5.4,0.508
12/27/2015,-16.7,-5.4,0.508
12/27/2015,-16.7,-5.4,0.508
12/27/2015,-16.7,-5.4,0.508
12/27/2015,-16.7,-5.4,0.508
12/27/2015,-16.7,-5.4,0.508
12/27/2016,-11.5,-1.3,0.0
12/28/2013,-14.5,1.5,0.0
12/28/2014,-18.3,-7.9,0.0
12/28/2015,-22.5,-9.4,0.254
12/28/2016,-18.3,-6.8,0.0
12/29/2013,-11.4,6.3,0.0
12/29/2014,-21.3,-7.9,0.762
12/29/2015,-22.6,0.0,0.0
12/29/2016,-18.4,2.1,0.762
12/3/2014,-9.3,2.3,0.0
12/3/2015,-17.3,-7.5,0.0
12/3/2016,-17.7,-3.4,0.0
12/30/2013,-9.0,0.5,0.254
12/30/2014,-19.7,-9.0,1.778
12/30/2015,-15.7,-3.2,0.0
12/30/2016,-11.8,-3.3,0.0
12/31/2013,-14.5,-4.6,0.0
12/31/2014,-17.6,-7.8,0.0
12/31/2015,-18.6,-4.3,0.0
12/31/2016,-13.7,2.3,0.0
12/4/2014,-10.0,5.3,0.0
12/4/2015,-16.6,0.7,0.0
12/4/2016,-15.8,-3.0,0.0
12/5/2014,-5.5,6.2,0.0
12/5/2015,-11.4,1.5,0.0
12/5/2016,-16.0,-5.5,0.0
12/6/2014,-5.1,4.3,0.254
12/6/2015,-10.7,7.3,0.0
12/6/2016,-17.5,1.5,2.032
12/7/2014,-8.2,4.2,0.0
12/7/2015,-16.1,-2.3,0.254
12/7/2016,-14.6,-1.1,2.794
12/8/2014,-8.0,5.6,0.0
12/8/2015,-16.1,6.7,0.254
12/8/2016,-14.2,-7.0,9.652
12/9/2014,-9.4,3.1,0.0
12/9/2015,-9.6,5.0,0.762
12/9/2016,-24.1,-11.6,0.508
2/1/2014,-6.7,-1.2,9.906
2/1/2015,-6.3,1.5,0.508
2/1/2016,-7.9,4.0,10.414
2/1/2017,-11.2,3.5,0.0
2/10/2015,-6.3,7.5,0.0
2/10/2016,-10.5,2.6,2.54
2/10/2017,-3.3,1.7,0.254
2/11/2015,-7.0,9.5,1.524
2/11/2016,-11.7,5.9,1.778
2/11/2017,-0.2,8.5,0.0
2/12/2014,-15.1,1.0,0.0
2/12/2015,-6.1,3.5,0.508
2/12/2016,-10.0,9.0,0.508
2/12/2017,1.3,10.5,1.778
2/13/2014,-18.6,-1.6,0.0
2/13/2015,-10.4,4.3,0.0
2/13/2016,-9.3,7.0,0.0
2/13/2017,-6.1,4.2,0.508
2/14/2014,-12.7,-0.9,4.318
2/14/2015,-11.1,4.3,0.0
2/14/2016,-6.5,8.2,0.0
2/14/2017,-5.3,5.3,0.0
2/15/2014,-3.9,1.4,4.318
2/15/2015,-8.3,7.8,0.0
2/15/2016,-7.3,7.3,1.016
2/15/2017,-10.4,2.4,0.0
2/16/2014,-6.4,0.6,3.048
2/16/2015,-7.5,10.4,0.508
2/16/2016,-9.5,-0.4,3.302
2/16/2017,-14.0,3.3,0.0
2/17/2014,-4.0,2.5,0.0
2/17/2015,-11.7,3.8,0.254
2/17/2016,-5.6,0.3,1.524
2/17/2017,-13.9,7.5,0.0
2/18/2014,-8.3,3.6,2.54
2/18/2015,-18.0,-4.6,0.0
2/18/2016,-9.4,4.7,0.0
2/18/2017,-10.7,10.9,0.0
2/19/2014,-16.0,5.1,0.0
2/19/2015,-13.5,-5.1,0.0
2/19/2016,-9.9,11.2,0.0
2/19/2017,-8.0,8.5,0.0
2/2/2014,-11.1,-4.2,0.508
2/2/2015,-8.5,1.4,0.254
2/2/2016,-10.8,-3.0,0.254
2/2/2017,-9.2,4.6,0.0
