date,rating_today_above,rating_today_near,rating_today_below,precip_accum_24_hour,day_of_year
2/13/2017,2,2,1,0.508,44
2/14/2014,4,3,3,4.318,45
2/14/2015,2,2,1,0.0,45
2/14/2016,2,2,1,0.0,45
2/14/2017,2,2,1,0.0,45
2/15/2014,4,3,3,4.318,46
2/15/2015,2,2,1,0.0,46
2/15/2016,2,2,1,1.016,46
2/15/2017,2,2,2,0.0,46
2/16/2014,3,3,3,3.048,47
2/16/2015,3,3,2,0.508,47
2/16/2016,2,2,1,3.302,47
2/16/2017,2,2,1,0.0,47
2/17/2014,3,3,3,0.0,48
2/17/2015,2,2,2,0.254,48
2/17/2016,2,2,2,1.524,48
2/17/2017,1,1,1,0.0,48
2/18/2014,3,3,3,2.54,49
2/18/2015,2,2,1,0.0,49
2/18/2016,2,2,1,0.0,49
2/18/2017,1,1,1,0.0,49
2/19/2014,3,3,2,0.0,50
2/19/2015,2,2,1,0.0,50
2/19/2016,2,2,1,0.0,50
2/19/2017,1,1,1,0.0,50
2/2/2014,3,3,3,0.508,33
2/2/2015,2,2,1,0.254,33
2/2/2016,3,3,3,0.254,33
2/2/2017,2,2,2,0.0,33
2/20/2014,3,3,2,0.254,51
2/20/2015,2,2,1,0.0,51
2/20/2016,2,2,1,6.35,51
2/20/2017,2,2,1,0.762,51
2/21/2014,3,3,2,4.064,52
2/21/2015,3,3,2,3.302,52
2/21/2016,2,2,1,0.0,52
2/21/2017,2,2,1,5.334,52
2/22/2014,3,3,2,0.0,53
2/22/2015,3,3,3,1.778,53
2/22/2016,1,1,1,0.0,53
2/22/2017,2,2,1,14.478,53
2/23/2014,3,3,2,0.0,54
2/23/2015,3,3,3,0.508,54
2/23/2016,2,1,1,0.0,54
2/23/2017,2,2,1,0.0,54
2/24/2014,3,2,2,1.778,55
2/24/2015,3,3,2,11.684,55
2/24/2016,2,1,1,0.508,55
2/24/2017,2,2,1,0.0,55
2/25/2014,2,2,2,0.0,56
2/25/2015,3,3,2,0.0,56
2/25/2016,2,1,1,0.0,56
2/25/2017,2,2,1,0.508,56
2/26/2014,2,2,2,0.0,57
2/26/2015,3,3,2,0.254,57
2/26/2016,2,1,1,0.0,57
2/26/2017,2,2,1,1.778,57
2/27/2014,2,2,2,0.254,58
2/27/2015,3,3,2,0.0,58
2/27/2016,1,1,1,0.0,58
2/27/2017,2,2,1,0.254,58
2/28/2014,3,2,2,0.0,59
2/28/2015,3,3,2,0.0,59
2/28/2016,1,1,1,0.0,59
2/28/2017,2,2,2,0.0,59
2/29/2016,1,1,1,0.0,60
2/3/2014,3,3,3,0.254,34
2/3/2015,2,2,2,1.524,34
2/3/2016,3,3,3,5.334,34
2/3/2017,2,1,1,0.508,34
2/4/2014,3,3,3,0.0,35
2/4/2015,3,3,2,4.826,35
2/4/2016,3,3,3,0.0,35
2/4/2017,2,2,1,0.762,35
2/5/2014,3,3,2,0.508,36
2/5/2015,3,3,2,19.812,36
2/5/2016,3,3,2,0.0,36
2/5/2017,2,2,1,0.0,36
2/6/2014,3,3,2,0.762,37
2/6/2015,3,3,2,2.286,37
2/6/2016,3,2,2,0.0,37
2/6/2017,2,2,1,0.0,37
2/7/2014,3,3,2,0.0,38
2/7/2015,3,2,2,0.0,38
